city,dates,gender,outcome.runs,outcome.winner,player_of_match,team,umpires,venue,matchid,outcome.wickets,outcome.method,neutral_venue,match_type_number,year,did_win,bat_first,total_wins,win_percentage
Brisbane,2017-01-13,male,92.0,Australia,MS Wade,Australia,MD Martell,"Brisbane Cricket Ground, Woolloongabba",1000887,,,,,2017,True,True,5,0.45454545454545453
,2017-01-15,male,,Pakistan,Mohammad Hafeez,Australia,CB Gaffaney,Melbourne Cricket Ground,1000889,6.0,,,,2017,False,True,5,0.45454545454545453
Perth,2017-01-19,male,,Australia,SPD Smith,Australia,SD Fry,Western Australia Cricket Association Ground,1000891,7.0,,,,2017,True,False,5,0.45454545454545453
,2017-01-22,male,86.0,Australia,DA Warner,Australia,CB Gaffaney,Sydney Cricket Ground,1000893,,,,,2017,True,True,5,0.45454545454545453
,2017-01-26,male,57.0,Australia,DA Warner,Australia,SD Fry,Adelaide Oval,1000895,,,,,2017,True,True,5,0.45454545454545453
Auckland,2017-01-30,male,6.0,New Zealand,MP Stoinis,Australia,RSA Palliyaguruge,Eden Park,1020013,,,,,2017,False,False,5,0.45454545454545453
Hamilton,2017-02-05,male,24.0,New Zealand,TA Boult,Australia,RSA Palliyaguruge,Seddon Park,1020017,,,,,2017,False,False,5,0.45454545454545453
Kolkata,2017-09-21,male,50.0,India,V Kohli,Australia,AK Chaudhary,Eden Gardens,1119497,,,,3912.0,2017,False,False,5,0.45454545454545453
Indore,2017-09-24,male,,India,HH Pandya,Australia,C Shamshuddin,Holkar Cricket Stadium,1119498,5.0,,,3914.0,2017,False,True,5,0.45454545454545453
Bengaluru,2017-09-28,male,21.0,Australia,DA Warner,Australia,C Shamshuddin,M.Chinnaswamy Stadium,1119499,,,,3917.0,2017,True,True,5,0.45454545454545453
Nagpur,2017-10-01,male,,India,RG Sharma,Australia,M Erasmus,"Vidarbha Cricket Association Stadium, Jamtha",1119500,7.0,,,3919.0,2017,False,True,5,0.45454545454545453
Brisbane,2017-01-13,male,92.0,Australia,MS Wade,Pakistan,C Shamshuddin,"Brisbane Cricket Ground, Woolloongabba",1000887,,,,,2017,False,False,11,0.6875
,2017-01-15,male,,Pakistan,Mohammad Hafeez,Pakistan,P Wilson,Melbourne Cricket Ground,1000889,6.0,,,,2017,True,False,11,0.6875
Perth,2017-01-19,male,,Australia,SPD Smith,Pakistan,C Shamshuddin,Western Australia Cricket Association Ground,1000891,7.0,,,,2017,False,True,11,0.6875
,2017-01-22,male,86.0,Australia,DA Warner,Pakistan,MD Martell,Sydney Cricket Ground,1000893,,,,,2017,False,False,11,0.6875
,2017-01-26,male,57.0,Australia,DA Warner,Pakistan,C Shamshuddin,Adelaide Oval,1000895,,,,,2017,False,False,11,0.6875
Cardiff,2017-06-12,male,,Pakistan,Sarfraz Ahmed,Pakistan,M Erasmus,Sophia Gardens,1022369,3.0,,1.0,,2017,True,False,11,0.6875
Cardiff,2017-06-14,male,,Pakistan,Hasan Ali,Pakistan,RJ Tucker,Sophia Gardens,1022371,8.0,,,,2017,True,False,11,0.6875
London,2017-06-18,male,180.0,Pakistan,Fakhar Zaman,Pakistan,RA Kettleborough,Kennington Oval,1022375,,,1.0,,2017,True,True,11,0.6875
Guyana,2017-04-07,male,,West Indies,JN Mohammed,Pakistan,JS Wilson,Providence Stadium,1077949,4.0,,,,2017,False,True,11,0.6875
Guyana,2017-04-09,male,74.0,Pakistan,Babar Azam,Pakistan,IJ Gould,Providence Stadium,1077950,,,,,2017,True,True,11,0.6875
Guyana,2017-04-11,male,,Pakistan,Shoaib Malik,Pakistan,JS Wilson,Providence Stadium,1077951,6.0,,,,2017,True,False,11,0.6875
,2017-10-13,male,83.0,Pakistan,Shoaib Malik,Pakistan,Ahsan Raza,Dubai International Cricket Stadium,1120286,,,,3922.0,2017,True,True,11,0.6875
Abu Dhabi,2017-10-16,male,32.0,Pakistan,Shadab Khan,Pakistan,RA Kettleborough,Sheikh Zayed Stadium,1120287,,,,3924.0,2017,True,True,11,0.6875
Abu Dhabi,2017-10-18,male,,Pakistan,Imam-ul-Haq,Pakistan,S Ravi,Sheikh Zayed Stadium,1120288,7.0,,,3926.0,2017,True,False,11,0.6875
,2017-10-20,male,,Pakistan,Babar Azam,Pakistan,Shozab Raza,Sharjah Cricket Stadium,1120289,7.0,,,3927.0,2017,True,False,11,0.6875
,2017-10-23,male,,Pakistan,Usman Shinwari,Pakistan,S Ravi,Sharjah Cricket Stadium,1120290,9.0,,,3930.0,2017,True,False,11,0.6875
,2016-12-04,male,68.0,Australia,SPD Smith,Australia,HDPK Dharmasena,Sydney Cricket Ground,1001371,,,,,2016,True,True,17,0.6071428571428571
Canberra,2016-12-06,male,116.0,Australia,DA Warner,Australia,HDPK Dharmasena,Manuka Oval,1001373,,,,,2016,True,True,17,0.6071428571428571
,2016-12-09,male,117.0,Australia,DA Warner,Australia,NJ Llong,Melbourne Cricket Ground,1001375,,,,,2016,True,True,17,0.6071428571428571
Perth,2016-01-12,male,,Australia,SPD Smith,Australia,SD Fry,Western Australia Cricket Association Ground,895807,5.0,,,,2016,True,False,17,0.6071428571428571
Brisbane,2016-01-15,male,,Australia,RG Sharma,Australia,RA Kettleborough,"Brisbane Cricket Ground, Woolloongabba",895809,7.0,,,,2016,True,False,17,0.6071428571428571
,2016-01-17,male,,Australia,GJ Maxwell,Australia,SD Fry,Melbourne Cricket Ground,895811,3.0,,,,2016,True,False,17,0.6071428571428571
Canberra,2016-01-20,male,25.0,Australia,KW Richardson,Australia,RA Kettleborough,Manuka Oval,895813,,,,,2016,True,True,17,0.6071428571428571
,2016-01-23,male,,India,MK Pandey,Australia,RA Kettleborough,Sydney Cricket Ground,895815,6.0,,,,2016,False,True,17,0.6071428571428571
Auckland,2016-02-03,male,159.0,New Zealand,MJ Guptill,Australia,DJ Walker,Eden Park,914231,,,,,2016,False,False,17,0.6071428571428571
Wellington,2016-02-06,male,,Australia,MR Marsh,Australia,S Ravi,Westpac Stadium,914233,4.0,,,,2016,True,False,17,0.6071428571428571
Hamilton,2016-02-08,male,55.0,New Zealand,IS Sodhi,Australia,DJ Walker,Seddon Park,914235,,,,,2016,False,False,17,0.6071428571428571
Guyana,2016-06-05,male,,Australia,NM Lyon,Australia,NJ Llong,Providence Stadium,932851,6.0,,,,2016,True,False,17,0.6071428571428571
Guyana,2016-06-07,male,47.0,South Africa,F Behardien,Australia,RK Illingworth,Providence Stadium,932853,,,1.0,,2016,False,False,17,0.6071428571428571
St Kitts,2016-06-11,male,36.0,Australia,DA Warner,Australia,NJ Llong,"Warner Park, Basseterre",932855,,,1.0,,2016,True,True,17,0.6071428571428571
St Kitts,2016-06-13,male,,West Indies,MN Samuels,Australia,RK Illingworth,"Warner Park, Basseterre",932857,4.0,,,,2016,False,True,17,0.6071428571428571
Barbados,2016-06-21,male,,Australia,MN Samuels,Australia,RA Kettleborough,"Kensington Oval, Bridgetown",932863,6.0,,,,2016,True,False,17,0.6071428571428571
Barbados,2016-06-26,male,58.0,Australia,MR Marsh,Australia,JS Wilson,"Kensington Oval, Bridgetown",932867,,,,,2016,True,True,17,0.6071428571428571
Benoni,2016-09-27,male,,Australia,UT Khawaja,Australia,BP Jele,Willowmoore Park,936133,9.0,,1.0,,2016,True,False,17,0.6071428571428571
Centurion,2016-09-30,male,,South Africa,Q de Kock,Australia,JS Wilson,SuperSport Park,936135,6.0,,,,2016,False,True,17,0.6071428571428571
Johannesburg,2016-10-02,male,142.0,South Africa,F du Plessis,Australia,NJ Llong,New Wanderers Stadium,936137,,,,,2016,False,False,17,0.6071428571428571
Durban,2016-10-05,male,,South Africa,DA Miller,Australia,JS Wilson,Kingsmead,936139,4.0,,,,2016,False,True,17,0.6071428571428571
Port Elizabeth,2016-10-09,male,,South Africa,KJ Abbott,Australia,NJ Llong,St George's Park,936141,6.0,,,,2016,False,True,17,0.6071428571428571
Cape Town,2016-10-12,male,31.0,South Africa,DA Warner,Australia,JS Wilson,Newlands,936143,,,,,2016,False,False,17,0.6071428571428571
Colombo,2016-08-21,male,,Australia,JP Faulkner,Australia,REJ Martinesz,R Premadasa Stadium,995457,3.0,,,,2016,True,False,17,0.6071428571428571
Colombo,2016-08-24,male,82.0,Sri Lanka,AD Mathews,Australia,RR Wimalasiri,R Premadasa Stadium,995459,,,,,2016,False,False,17,0.6071428571428571
,2016-08-28,male,,Australia,GJ Bailey,Australia,REJ Martinesz,Rangiri Dambulla International Stadium,995461,2.0,,,,2016,True,False,17,0.6071428571428571
,2016-08-31,male,,Australia,JW Hastings,Australia,RSA Palliyaguruge,Rangiri Dambulla International Stadium,995463,6.0,,,,2016,True,False,17,0.6071428571428571
,2016-09-01,male,,Australia,DA Warner,Australia,RSA Palliyaguruge,Pallekele International Cricket Stadium,995465,5.0,,,,2016,True,False,17,0.6071428571428571
,2016-12-04,male,68.0,Australia,SPD Smith,New Zealand,MD Martell,Sydney Cricket Ground,1001371,,,,,2016,False,False,9,0.5625
Canberra,2016-12-06,male,116.0,Australia,DA Warner,New Zealand,P Wilson,Manuka Oval,1001373,,,,,2016,False,False,9,0.5625
,2016-12-09,male,117.0,Australia,DA Warner,New Zealand,MD Martell,Melbourne Cricket Ground,1001375,,,,,2016,False,False,9,0.5625
Christchurch,2016-12-26,male,77.0,New Zealand,TWM Latham,New Zealand,WR Knights,Hagley Oval,1019973,,,,,2016,True,True,9,0.5625
Nelson,2016-12-29,male,67.0,New Zealand,NT Broom,New Zealand,CM Brown,Saxton Oval,1019975,,,,,2016,True,True,9,0.5625
Nelson,2016-12-31,male,,New Zealand,KS Williamson,New Zealand,CM Brown,Saxton Oval,1019977,8.0,,,,2016,True,False,9,0.5625
Dharmasala,2016-10-16,male,,India,HH Pandya,New Zealand,C Shamshuddin,Himachal Pradesh Cricket Association Stadium,1030219,6.0,,,,2016,False,True,9,0.5625
Delhi,2016-10-20,male,6.0,New Zealand,KS Williamson,New Zealand,BNJ Oxenford,Feroz Shah Kotla,1030221,,,,,2016,True,True,9,0.5625
Chandigarh,2016-10-23,male,,India,V Kohli,New Zealand,C Shamshuddin,"Punjab Cricket Association Stadium, Mohali",1030223,7.0,,,,2016,False,True,9,0.5625
Ranchi,2016-10-26,male,19.0,New Zealand,MJ Guptill,New Zealand,BNJ Oxenford,JSCA International Stadium Complex,1030225,,,,,2016,True,True,9,0.5625
Visakhapatnam,2016-10-29,male,190.0,India,A Mishra,New Zealand,BNJ Oxenford,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1030227,,,,,2016,False,False,9,0.5625
Mount Maunganui,2016-01-05,male,36.0,New Zealand,MJ Henry,New Zealand,BF Bowden,Bay Oval,914215,,,,,2016,True,True,9,0.5625
Wellington,2016-01-25,male,70.0,New Zealand,HM Nicholls,New Zealand,NJ Llong,Basin Reserve,914227,,,,,2016,True,True,9,0.5625
Auckland,2016-02-03,male,159.0,New Zealand,MJ Guptill,New Zealand,IJ Gould,Eden Park,914231,,,,,2016,True,True,9,0.5625
Wellington,2016-02-06,male,,Australia,MR Marsh,New Zealand,BF Bowden,Westpac Stadium,914233,4.0,,,,2016,False,True,9,0.5625
Hamilton,2016-02-08,male,55.0,New Zealand,IS Sodhi,New Zealand,IJ Gould,Seddon Park,914235,,,,,2016,True,True,9,0.5625
Edinburgh,2016-09-10,male,53.0,Scotland,,Scotland,GO Brathwaite,"Grange Cricket Club Ground, Raeburn Place",1004285,,,,,2016,True,True,3,1.0
Edinburgh,2016-08-14,male,98.0,Scotland,,Scotland,DA Haggo,"Grange Cricket Club Ground, Raeburn Place",997993,,,,,2016,True,True,3,1.0
Edinburgh,2016-08-16,male,,Scotland,,Scotland,DA Haggo,"Grange Cricket Club Ground, Raeburn Place",997995,7.0,,,,2016,True,False,3,1.0
Edinburgh,2016-09-10,male,53.0,Scotland,,Hong Kong,IN Ramage,"Grange Cricket Club Ground, Raeburn Place",1004285,,,,,2016,False,False,1,0.3333333333333333
Hong Kong,2016-11-04,male,106.0,Hong Kong,Babar Hayat,Hong Kong,Sharfuddoula,"Mission Road Ground, Mong Kok",1026847,,,,,2016,True,True,1,0.3333333333333333
Hong Kong,2016-11-06,male,14.0,Papua New Guinea,CA Soper,Hong Kong,Sharfuddoula,"Mission Road Ground, Mong Kok",1026849,,,,,2016,False,False,1,0.3333333333333333
,2016-06-11,male,,India,KL Rahul,Zimbabwe,IJ Gould,Harare Sports Club,1007649,9.0,,,,2016,False,True,2,0.25
,2016-06-13,male,,India,YS Chahal,Zimbabwe,IJ Gould,Harare Sports Club,1007651,8.0,,,,2016,False,True,2,0.25
,2016-06-15,male,,India,KL Rahul,Zimbabwe,IJ Gould,Harare Sports Club,1007653,10.0,,,,2016,False,True,2,0.25
,2016-11-14,male,,Sri Lanka,DM de Silva,Zimbabwe,C Shamshuddin,Harare Sports Club,1059710,8.0,,,,2016,False,True,2,0.25
Bulawayo,2016-11-27,male,,Sri Lanka,BKG Mendis,Zimbabwe,RK Illingworth,Queens Sports Club,1059716,6.0,,,,2016,False,True,2,0.25
,2016-01-02,male,117.0,Zimbabwe,H Masakadza,Zimbabwe,VA Kulkarni,Sharjah Cricket Stadium,953339,,,1.0,,2016,True,True,2,0.25
,2016-01-04,male,65.0,Zimbabwe,CJ Chibhabha,Zimbabwe,C Shamshuddin,Sharjah Cricket Stadium,953341,,,1.0,,2016,True,True,2,0.25
,2016-01-06,male,,Afghanistan,Gulbadin Naib,Zimbabwe,C Shamshuddin,Sharjah Cricket Stadium,953343,2.0,,1.0,,2016,False,True,2,0.25
,2016-06-11,male,,India,KL Rahul,India,RB Tiffin,Harare Sports Club,1007649,9.0,,,,2016,True,False,7,0.5384615384615384
,2016-06-13,male,,India,YS Chahal,India,L Rusere,Harare Sports Club,1007651,8.0,,,,2016,True,False,7,0.5384615384615384
,2016-06-15,male,,India,KL Rahul,India,TJ Matibiri,Harare Sports Club,1007653,10.0,,,,2016,True,False,7,0.5384615384615384
Dharmasala,2016-10-16,male,,India,HH Pandya,India,BNJ Oxenford,Himachal Pradesh Cricket Association Stadium,1030219,6.0,,,,2016,True,False,7,0.5384615384615384
Delhi,2016-10-20,male,6.0,New Zealand,KS Williamson,India,AK Chaudhary,Feroz Shah Kotla,1030221,,,,,2016,False,False,7,0.5384615384615384
Chandigarh,2016-10-23,male,,India,V Kohli,India,BNJ Oxenford,"Punjab Cricket Association Stadium, Mohali",1030223,7.0,,,,2016,True,False,7,0.5384615384615384
Ranchi,2016-10-26,male,19.0,New Zealand,MJ Guptill,India,AK Chaudhary,JSCA International Stadium Complex,1030225,,,,,2016,False,False,7,0.5384615384615384
Visakhapatnam,2016-10-29,male,190.0,India,A Mishra,India,CK Nandan,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1030227,,,,,2016,True,True,7,0.5384615384615384
Perth,2016-01-12,male,,Australia,SPD Smith,India,RA Kettleborough,Western Australia Cricket Association Ground,895807,5.0,,,,2016,False,True,7,0.5384615384615384
Brisbane,2016-01-15,male,,Australia,RG Sharma,India,MD Martell,"Brisbane Cricket Ground, Woolloongabba",895809,7.0,,,,2016,False,True,7,0.5384615384615384
,2016-01-17,male,,Australia,GJ Maxwell,India,RA Kettleborough,Melbourne Cricket Ground,895811,3.0,,,,2016,False,True,7,0.5384615384615384
Canberra,2016-01-20,male,25.0,Australia,KW Richardson,India,JD Ward,Manuka Oval,895813,,,,,2016,False,False,7,0.5384615384615384
,2016-01-23,male,,India,MK Pandey,India,P Wilson,Sydney Cricket Ground,895815,6.0,,,,2016,True,False,7,0.5384615384615384
Christchurch,2016-12-26,male,77.0,New Zealand,TWM Latham,Bangladesh,C Shamshuddin,Hagley Oval,1019973,,,,,2016,False,False,3,0.3333333333333333
Nelson,2016-12-29,male,67.0,New Zealand,NT Broom,Bangladesh,PR Reiffel,Saxton Oval,1019975,,,,,2016,False,False,3,0.3333333333333333
Nelson,2016-12-31,male,,New Zealand,KS Williamson,Bangladesh,C Shamshuddin,Saxton Oval,1019977,8.0,,,,2016,False,True,3,0.3333333333333333
Mirpur,2016-10-07,male,21.0,England,JT Ball,Bangladesh,M Erasmus,Shere Bangla National Stadium,1029819,,,,,2016,False,False,3,0.3333333333333333
Mirpur,2016-10-09,male,34.0,Bangladesh,Mashrafe Mortaza,Bangladesh,Aleem Dar,Shere Bangla National Stadium,1029821,,,,,2016,True,True,3,0.3333333333333333
Chittagong,2016-10-12,male,,England,AU Rashid,Bangladesh,Anisur Rahman,Zahur Ahmed Chowdhury Stadium,1029823,4.0,,,,2016,False,True,3,0.3333333333333333
Mirpur,2016-09-25,male,7.0,Bangladesh,Shakib Al Hasan,Bangladesh,C Shamshuddin,Shere Bangla National Stadium,1051297,,,,,2016,True,True,3,0.3333333333333333
Mirpur,2016-09-28,male,,Afghanistan,Mohammad Nabi,Bangladesh,Anisur Rahman,Shere Bangla National Stadium,1051299,2.0,,,,2016,False,True,3,0.3333333333333333
Mirpur,2016-10-01,male,141.0,Bangladesh,Tamim Iqbal,Bangladesh,C Shamshuddin,Shere Bangla National Stadium,1051301,,,,,2016,True,True,3,0.3333333333333333
Auckland,2017-01-30,male,6.0,New Zealand,MP Stoinis,New Zealand,WR Knights,Eden Park,1020013,,,,,2017,True,True,10,0.5555555555555556
Hamilton,2017-02-05,male,24.0,New Zealand,TA Boult,New Zealand,CM Brown,Seddon Park,1020017,,,,,2017,True,True,10,0.5555555555555556
Hamilton,2017-02-19,male,,South Africa,Q de Kock,New Zealand,WR Knights,Seddon Park,1020031,4.0,,,,2017,False,True,10,0.5555555555555556
Christchurch,2017-02-22,male,6.0,New Zealand,LRPL Taylor,New Zealand,CM Brown,Hagley Oval,1020033,,,,,2017,True,True,10,0.5555555555555556
Wellington,2017-02-25,male,159.0,South Africa,AB de Villiers,New Zealand,CM Brown,Westpac Stadium,1020035,,,,,2017,False,False,10,0.5555555555555556
Hamilton,2017-03-01,male,,New Zealand,MJ Guptill,New Zealand,WR Knights,Seddon Park,1020037,7.0,,,,2017,True,False,10,0.5555555555555556
Auckland,2017-03-04,male,,South Africa,K Rabada,New Zealand,CM Brown,Eden Park,1020039,6.0,,,,2017,False,True,10,0.5555555555555556
Cardiff,2017-06-06,male,87.0,England,JT Ball,New Zealand,PR Reiffel,Sophia Gardens,1022357,,,,,2017,False,False,10,0.5555555555555556
Cardiff,2017-06-09,male,,Bangladesh,Shakib Al Hasan,New Zealand,NJ Llong,Sophia Gardens,1022363,5.0,,1.0,,2017,False,True,10,0.5555555555555556
Dublin,2017-05-14,male,51.0,New Zealand,MJ Santner,New Zealand,NJ Llong,Malahide,1033363,,,,,2017,True,True,10,0.5555555555555556
Dublin,2017-05-17,male,,New Zealand,JDS Neesham,New Zealand,AJ Neill,Clontarf Cricket Club Ground,1033365,4.0,,1.0,,2017,True,False,10,0.5555555555555556
Dublin,2017-05-21,male,190.0,New Zealand,TWM Latham,New Zealand,JS Wilson,Malahide,1033369,,,,,2017,True,True,10,0.5555555555555556
Dublin,2017-05-24,male,,Bangladesh,Mushfiqur Rahim,New Zealand,RSA Palliyaguruge,Clontarf Cricket Club Ground,1033371,5.0,,1.0,,2017,False,True,10,0.5555555555555556
Whangarei,2017-12-20,male,,New Zealand,DAJ Bracewell,New Zealand,C Shamshuddin,Cobham Oval (New),1115795,5.0,,,3943.0,2017,True,False,10,0.5555555555555556
Christchurch,2017-12-23,male,204.0,New Zealand,TA Boult,New Zealand,BNJ Oxenford,Hagley Oval,1115796,,,,3944.0,2017,True,True,10,0.5555555555555556
Mumbai,2017-10-22,male,,New Zealand,TWM Latham,New Zealand,CK Nandan,Wankhede Stadium,1120090,6.0,,,3928.0,2017,True,False,10,0.5555555555555556
Pune,2017-10-25,male,,India,B Kumar,New Zealand,RJ Tucker,Maharashtra Cricket Association Stadium,1120091,6.0,,,3931.0,2017,False,True,10,0.5555555555555556
Kanpur,2017-10-29,male,6.0,India,RG Sharma,New Zealand,AK Chaudhary,Green Park,1120092,,,,3932.0,2017,False,False,10,0.5555555555555556
Hamilton,2017-02-19,male,,South Africa,Q de Kock,South Africa,JS Wilson,Seddon Park,1020031,4.0,,,,2017,True,False,13,0.7222222222222222
Christchurch,2017-02-22,male,6.0,New Zealand,LRPL Taylor,South Africa,PR Reiffel,Hagley Oval,1020033,,,,,2017,False,False,13,0.7222222222222222
Wellington,2017-02-25,male,159.0,South Africa,AB de Villiers,South Africa,JS Wilson,Westpac Stadium,1020035,,,,,2017,True,True,13,0.7222222222222222
Hamilton,2017-03-01,male,,New Zealand,MJ Guptill,South Africa,PR Reiffel,Seddon Park,1020037,7.0,,,,2017,False,True,13,0.7222222222222222
Auckland,2017-03-04,male,,South Africa,K Rabada,South Africa,JS Wilson,Eden Park,1020039,6.0,,,,2017,True,False,13,0.7222222222222222
London,2017-06-03,male,96.0,South Africa,Imran Tahir,South Africa,Aleem Dar,Kennington Oval,1022351,,,1.0,,2017,True,True,13,0.7222222222222222
London,2017-06-11,male,,India,JJ Bumrah,South Africa,PR Reiffel,Kennington Oval,1022367,8.0,,1.0,,2017,False,True,13,0.7222222222222222
Leeds,2017-05-24,male,72.0,England,MM Ali,South Africa,RJ Tucker,Headingley,1031425,,,,,2017,False,False,13,0.7222222222222222
Southampton,2017-05-27,male,2.0,England,BA Stokes,South Africa,CB Gaffaney,The Rose Bowl,1031427,,,,,2017,False,False,13,0.7222222222222222
London,2017-05-29,male,,South Africa,K Rabada,South Africa,RJ Tucker,Lord's,1031429,7.0,,,,2017,True,False,13,0.7222222222222222
Kimberley,2017-10-15,male,,South Africa,Q de Kock,South Africa,BP Jele,Diamond Oval,1075504,10.0,,,3923.0,2017,True,False,13,0.7222222222222222
Paarl,2017-10-18,male,104.0,South Africa,AB de Villiers,South Africa,AT Holdstock,Boland Park,1075505,,,,3925.0,2017,True,True,13,0.7222222222222222
East London,2017-10-22,male,200.0,South Africa,F du Plessis,South Africa,Aleem Dar,Buffalo Park,1075506,,,,3929.0,2017,True,True,13,0.7222222222222222
Port Elizabeth,2017-01-28,male,,South Africa,Imran Tahir,South Africa,BP Jele,St George's Park,936159,8.0,,,,2017,True,False,13,0.7222222222222222
Durban,2017-02-01,male,121.0,South Africa,F du Plessis,South Africa,S George,Kingsmead,936161,,,,,2017,True,True,13,0.7222222222222222
Johannesburg,2017-02-04,male,,South Africa,D Pretorius,South Africa,AT Holdstock,New Wanderers Stadium,936163,7.0,,,,2017,True,False,13,0.7222222222222222
Cape Town,2017-02-07,male,40.0,South Africa,F du Plessis,South Africa,AT Holdstock,Newlands,936165,,,,,2017,True,True,13,0.7222222222222222
Centurion,2017-02-10,male,88.0,South Africa,HM Amla,South Africa,S George,SuperSport Park,936167,,,,,2017,True,True,13,0.7222222222222222
London,2017-06-01,male,,England,JE Root,England,S Ravi,Kennington Oval,1022347,8.0,,,,2017,True,False,13,0.7647058823529411
Cardiff,2017-06-06,male,87.0,England,JT Ball,England,BNJ Oxenford,Sophia Gardens,1022357,,,,,2017,True,True,13,0.7647058823529411
Cardiff,2017-06-14,male,,Pakistan,Hasan Ali,England,M Erasmus,Sophia Gardens,1022371,8.0,,,,2017,False,True,13,0.7647058823529411
Antigua,2017-03-03,male,45.0,England,EJG Morgan,England,RSA Palliyaguruge,"Sir Vivian Richards Stadium, North Sound",1027315,,,,,2017,True,True,13,0.7647058823529411
Antigua,2017-03-05,male,,England,JE Root,England,CB Gaffaney,"Sir Vivian Richards Stadium, North Sound",1027317,4.0,,,,2017,True,False,13,0.7647058823529411
Barbados,2017-03-09,male,186.0,England,AD Hales,England,RSA Palliyaguruge,"Kensington Oval, Bridgetown",1027319,,,,,2017,True,True,13,0.7647058823529411
Bristol,2017-05-05,male,,England,AU Rashid,England,Aleem Dar,County Ground,1029001,7.0,,,,2017,True,False,13,0.7647058823529411
London,2017-05-07,male,85.0,England,JE Root,England,PR Reiffel,Lord's,1029003,,,,,2017,True,True,13,0.7647058823529411
Leeds,2017-05-24,male,72.0,England,MM Ali,England,RT Robinson,Headingley,1031425,,,,,2017,True,True,13,0.7647058823529411
Southampton,2017-05-27,male,2.0,England,BA Stokes,England,RJ Bailey,The Rose Bowl,1031427,,,,,2017,True,True,13,0.7647058823529411
London,2017-05-29,male,,South Africa,K Rabada,England,MA Gough,Lord's,1031429,7.0,,,,2017,False,True,13,0.7647058823529411
Manchester,2017-09-19,male,,England,JM Bairstow,England,SD Fry,Old Trafford,1031667,7.0,,,3911.0,2017,True,False,13,0.7647058823529411
Bristol,2017-09-24,male,124.0,England,MM Ali,England,MA Gough,County Ground,1031671,,,,3915.0,2017,True,True,13,0.7647058823529411
Southampton,2017-09-29,male,,England,JM Bairstow,England,SD Fry,The Rose Bowl,1031675,9.0,,,3918.0,2017,True,False,13,0.7647058823529411
Pune,2017-01-15,male,,India,KM Jadhav,England,CK Nandan,Maharashtra Cricket Association Stadium,1034819,3.0,,,,2017,False,True,13,0.7647058823529411
Cuttack,2017-01-19,male,15.0,India,Yuvraj Singh,England,RSA Palliyaguruge,Barabati Stadium,1034821,,,,,2017,False,False,13,0.7647058823529411
Kolkata,2017-01-22,male,5.0,England,BA Stokes,England,HDPK Dharmasena,Eden Gardens,1034823,,,,,2017,True,True,13,0.7647058823529411
London,2017-06-01,male,,England,JE Root,Bangladesh,RJ Tucker,Kennington Oval,1022347,8.0,,,,2017,False,True,4,0.36363636363636365
Cardiff,2017-06-09,male,,Bangladesh,Shakib Al Hasan,Bangladesh,IJ Gould,Sophia Gardens,1022363,5.0,,1.0,,2017,True,False,4,0.36363636363636365
Birmingham,2017-06-15,male,,India,RG Sharma,Bangladesh,HDPK Dharmasena,Edgbaston,1022373,9.0,,1.0,,2017,False,True,4,0.36363636363636365
Dublin,2017-05-17,male,,New Zealand,JDS Neesham,Bangladesh,IJ Gould,Clontarf Cricket Club Ground,1033365,4.0,,1.0,,2017,False,True,4,0.36363636363636365
Dublin,2017-05-19,male,,Bangladesh,Mustafizur Rahman,Bangladesh,RSA Palliyaguruge,Malahide,1033367,8.0,,,,2017,True,False,4,0.36363636363636365
Dublin,2017-05-24,male,,Bangladesh,Mushfiqur Rahim,Bangladesh,R Black,Clontarf Cricket Club Ground,1033371,5.0,,1.0,,2017,True,False,4,0.36363636363636365
Kimberley,2017-10-15,male,,South Africa,Q de Kock,Bangladesh,Aleem Dar,Diamond Oval,1075504,10.0,,,3923.0,2017,False,True,4,0.36363636363636365
Paarl,2017-10-18,male,104.0,South Africa,AB de Villiers,Bangladesh,RSA Palliyaguruge,Boland Park,1075505,,,,3925.0,2017,False,False,4,0.36363636363636365
East London,2017-10-22,male,200.0,South Africa,F du Plessis,Bangladesh,S George,Buffalo Park,1075506,,,,3929.0,2017,False,False,4,0.36363636363636365
,2017-03-25,male,90.0,Bangladesh,Tamim Iqbal,Bangladesh,REJ Martinesz,Rangiri Dambulla International Stadium,1083446,,,,,2017,True,True,4,0.36363636363636365
Colombo,2017-04-01,male,70.0,Sri Lanka,NLTC Perera,Bangladesh,RSA Palliyaguruge,Sinhalese Sports Club Ground,1083448,,,,,2017,False,False,4,0.36363636363636365
London,2017-06-03,male,96.0,South Africa,Imran Tahir,Sri Lanka,IJ Gould,Kennington Oval,1022351,,,1.0,,2017,False,False,5,0.19230769230769232
London,2017-06-08,male,,Sri Lanka,BKG Mendis,Sri Lanka,RJ Tucker,Kennington Oval,1022361,7.0,,1.0,,2017,True,False,5,0.19230769230769232
Cardiff,2017-06-12,male,,Pakistan,Sarfraz Ahmed,Sri Lanka,BNJ Oxenford,Sophia Gardens,1022369,3.0,,1.0,,2017,False,True,5,0.19230769230769232
,2017-03-25,male,90.0,Bangladesh,Tamim Iqbal,Sri Lanka,MA Gough,Rangiri Dambulla International Stadium,1083446,,,,,2017,False,False,5,0.19230769230769232
